"V1","Total"
"Aabha",14
"Aabriella",16
"Aadhira",22
"Aadhya",549
"Aadvika",20
"Aadya",318
"Aahana",82
"Aaila",18
"Aailyah",12
"Aaima",33
"Aaira",55
"Aairah",47
"Aaisha",18
"Aakriti",13
"Aala",15
"Aalaiyah",21
"Aalani",33
"Aalaya",16
"Aalayah",136
"Aalayiah",13
"Aalaysia",18
"Aaleah",27
"Aaleeyah",20
"Aaleigha",16
"Aaleyah",257
"Aalia",79
"Aaliah",78
"Aaliana",11
"Aalijah",23
"Aalijah",20
"Aalina",15
"Aaliya",121
"Aaliyah",9461
"Aaliyahrose",10
"Aaliyana",14
"Aaliyiah",10
"Aalyah",37
"Aalyiah",46
"Aamanee",10
"Aamani",30
"Aamari",14
"Aamari",23
"Aamilah",27
"Aamina",48
"Aaminah",69
"Aamira",62
"Aamirah",25
"Aamiya",13
"Aamiyah",55
"Aamna",17
"Aamori",13
"Aanaya",22
"Aania",11
"Aanika",44
"Aaniya",44
"Aaniyah",102
"Aanshi",25
"Aanvi",88
"Aanya",454
"Aara",28
"Aaradhana",21
"Aaradhya",183
"Aaralyn",145
"Aaralynn",35
"Aaravi",12
"Aari",14
"Aaria",98
"Aariah",58
"Aarian",25
"Aarian",13
"Aariana",43
"Aarianna",28
"Aariel",22
"Aarielle",18
"Aarika",32
"Aarilyn",23
"Aarilynn",10
"Aarini",17
"Aarion",15
"Aariona",16
"Aaris",13
"Aaris",14
"Aariya",30
"Aariyah",126
"Aariyana",18
"Aarna",295
"Aarnavi",13
"Aarohi",172
"Aaron",41
"Aaron",7137
"Aaruhi",12
"Aarushi",64
"Aarvi",55
"Aarya",369
"Aarya",198
"Aaryah",17
"Aaryahi",12
"Aaryana",19
"Aaryn",103
"Aaryn",59
"Aasha",24
"Aashi",100
"Aashika",18
"Aashka",16
"Aashna",65
"Aashritha",15
"Aashvi",135
"Aasia",16
"Aasiya",25
"Aasiyah",58
"Aastha",14
"Aava",21
"Aavah",15
"Aavya",104
"Aayana",15
"Aayat",37
"Aayla",63
"Aaylah",21
"Aayra",16
"Aayushi",20
"Aaziyah",10
"Abagail",175
"Abaigeal",14
"Abbagail",28
"Abbey",302
"Abbi",51
"Abbie",388
"Abbigail",481
"Abbigale",85
"Abbigayle",41
"Abbott",64
"Abby",1445
"Abbygail",259
"Abbygale",40
"Abbygayle",21
"Abcde",28
"Abeeha",24
"Abeer",18
"Abeer",21
"Abeera",17
"Abel",3025
"Abel",16
"Abela",11
"Abelina",14
"Abella",151
"Abena",24
"Aberdeen",30
"Abhigna",13
"Abi",40
"Abia",19
"Abiageal",13
"Abiah",15
"Abigael",98
"Abigaelle",34
"Abigail",12381
"Abigail",24070
"Abigaile",36
"Abigal",27
"Abigale",220
"Abigayl",13
"Abigayle",176
"Abiha",24
"Abijah",26
"Abilene",161
"Abiola",11
"Abisai",43
"Abisai",38
"Abisha",17
"Abishai",24
"Abisola",14
"Abra",20
"Abrah",13
"Abraham",2565
"Abrar",31
"Abrar",31
"Abree",76
"Abri",30
"Abria",34
"Abriana",119
"Abrianna",231
"Abrie",38
"Abriel",51
"Abriel",29
"Abriela",10
"Abriella",266
"Abrielle",520
"Abril",590
"Abrina",12
"Abrish",43
"Abryana",16
"Abryanna",31
"Absalat",21
"Aby",22
"Abygail",227
"Abygale",25
"Acacia",188
"Acadia",78
"Ace",13
"Ace",1041
"Acelyn",35
"Acelyn",53
"Acelynn",130
"Acey",11
"Achol",15
"Acsa",13
"Ada",1875
"Adabella",25
"Adabelle",45
"Adaeze",40
"Adah",171
"Adahlia",31
"Adaia",40
"Adaiah",55
"Adaiah",37
"Adair",40
"Adair",53
"Adaira",25
"Adalae",51
"Adalai",18
"Adalaide",49
"Adalay",36
"Adalaya",27
"Adalea",15
"Adaleah",29
"Adalee",442
"Adaleen",27
"Adaleena",26
"Adalei",29
"Adaleia",11
"Adaleigh",254
"Adalen",13
"Adalena",80
"Adalene",80
"Adaley",57
"Adaleyza",15
"Adali",66
"Adalia",196
"Adaliah",30
"Adalida",36
"Adalie",293
"Adalin",73
"Adalina",284
"Adalind",212
"Adaline",2775
"Adalinn",17
"Adalis",18
"Adalise",18
"Adaliyah",15
"Adaliz",35
"Adaly",119
"Adalyn",4628
"Adalyna",23
"Adalynd",26
"Adalyne",161
"Adalynn",5199
"Adalynne",214
"Adam",12
"Adam",5182
"Adama",43
"Adama",39
"Adamae",19
"Adamari",106
"Adamarie",16
"Adamaris",103
"Adamariz",20
"Adamary",20
"Adan",19
"Adan",827
"Adanna",48
"Adannaya",15
"Adanya",24
"Adaora",24
"Adara",130
"Adasyn",24
"Adaya",66
"Adayah",25
"Addalee",40
"Addaleigh",26
"Addalie",22
"Addaline",59
"Addalyn",511
"Addalyne",27
"Addalynn",434
"Addalynne",36
"Addasyn",12
"Addeline",87
"Addelyn",407
"Addelynn",165
"Addi",36
"Addie",407
"Addielynn",12
"Addilee",31
"Addileigh",10
"Addiline",13
"Addilyn",2005
"Addilyn",977
"Addilyne",20
"Addilynn",872
"Addilynne",25
"Addisen",70
"Addison",6859
"Addison",13001
"Addisyn",1013
"Addisynn",28
"Addley",43
"Addlyn",15
"Addlynn",15
"Addy",94
"Addylin",38
"Addyline",17
"Addylyn",15
"Addylynn",22
"Addysen",86
"Addysin",21
"Addyson",1385
"Addysyn",16
"Adea",17
"Adeena",34
